symbol,setup,binance_24h_vol_m,close,resistance,support,distance_to_res_pct,ath_body_pct,box_height_pct,bars_3d,first_3d_body_high
CRCLBUSDT,BREAKOUT,26.25,91.75,88.54,60.38,-3.63,114.52,46.64,26,80.12
MSTRBUSDT,BREAKOUT,11.74,126.02,122.64,82.76,-2.76,118.06,48.19,22,106.74
RLUSDUSDT,NEAR_BREAKOUT,66.98,1.0002,1.0016,0.9996,0.14,99.9,0.2,73,1.0012
UUSDT,NEAR_BREAKOUT,43.14,0.9994,1.0014,0.9995,0.2,99.94,0.19,76,1.0
XAUTUSDT,NEAR_BREAKOUT,14.4,4622.6,4802.05,4007.81,3.74,102.99,19.82,52,4488.26
MRVLBUSDT,LOW_VOL_BREAKOUT,1.85,241.89,240.78,163.57,-0.46,108.74,47.2,15,222.44
BFUSDUSDT,LOW_VOL_NEAR_BREAKOUT,3.6,0.9999,1.0,0.9989,0.01,99.99,0.11,127,1.0
XUSDUSDT,LOW_VOL_NEAR_BREAKOUT,2.61,1.0005,1.0017,0.9993,0.12,100.01,0.24,176,1.0004
QQQBUSDT,LOW_VOL_NEAR_BREAKOUT,2.23,710.73,733.88,666.72,3.15,98.16,10.07,20,724.08
COINBUSDT,LOW_VOL_NEAR_BREAKOUT,1.12,186.84,188.51,147.17,0.89,110.64,28.09,17,168.87
SPYBUSDT,LOW_VOL_NEAR_BREAKOUT,0.92,765.77,776.59,739.33,1.39,101.93,5.04,17,751.29
HOODBUSDT,LOW_VOL_NEAR_BREAKOUT,0.6,111.79,113.45,86.03,1.46,98.54,31.87,15,113.45
TSMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.2,419.23,432.52,374.87,3.07,99.72,15.38,15,420.39
IBMBUSDT,LOW_VOL_NEAR_BREAKOUT,0.12,233.79,237.31,205.56,1.48,107.7,15.45,15,217.07
PLTRBUSDT,LOW_VOL_NEAR_BREAKOUT,0.09,171.86,180.18,115.7,4.62,132.29,55.73,20,129.91
MSFTBUSDT,LOW_VOL_NEAR_BREAKOUT,0.08,490.2,506.52,368.57,3.22,125.37,37.43,20,390.99
KGSTUSDT,LOW_VOL_NEAR_BREAKOUT,0.05,0.0114,0.01145,0.01133,0.44,99.91,1.06,82,0.01141
