symbol,volume_24h,priority,last_1h_volume,prev_1h_volume,volume_ratio,ath_body_ratio,last_1h_close
ALLOUSDT,29.49M,OK,443.39K,550.83K,0.8,1.5863,2026-07-14 10:59 UTC
UUSDT,18.26M,OK,237.21K,250.47K,0.95,1.0008,2026-07-14 10:59 UTC
XAUTUSDT,14.83M,OK,246.44K,692.99K,0.36,0.8976,2026-07-14 10:59 UTC
币安人生USDT,14.13M,OK,2.41M,1.50M,1.61,5.3393,2026-07-14 10:59 UTC
KITEUSDT,8.98M,OK,348.42K,349.63K,1.0,1.3859,2026-07-14 10:59 UTC
XUSDUSDT,3.86M,LOW,237.03K,1.32M,0.18,1.0011,2026-07-14 10:59 UTC
ZAMAUSDT,2.69M,LOW,533.79K,87.54K,6.1,1.1278,2026-07-14 10:59 UTC
VIRTUALUSDT,2.68M,LOW,119.30K,67.38K,1.77,1.0283,2026-07-14 10:59 UTC
MORPHOUSDT,2.22M,LOW,99.78K,132.11K,0.76,1.0711,2026-07-14 10:59 UTC
AIGENSYNUSDT,1.53M,LOW,71.21K,31.22K,2.28,0.6382,2026-07-14 10:59 UTC
ESPUSDT,1.37M,LOW,65.90K,49.14K,1.34,1.1922,2026-07-14 10:59 UTC
SKYUSDT,966.36K,LOW,43.53K,15.07K,2.89,0.797,2026-07-14 10:59 UTC
BFUSDUSDT,841.18K,LOW,96.71K,6.71K,14.4,0.9993,2026-07-14 10:59 UTC
NIGHTUSDT,817.76K,LOW,318.86K,3.18K,100.34,0.5946,2026-07-14 10:59 UTC
BANKUSDT,456.44K,LOW,20.82K,74.47K,0.28,0.5623,2026-07-14 10:59 UTC
ATUSDT,371.48K,LOW,52.04K,8.74K,5.96,0.7506,2026-07-14 10:59 UTC
BANANAS31USDT,349.83K,LOW,5.81K,16.86K,0.34,1.398,2026-07-14 10:59 UTC
CFGUSDT,344.35K,LOW,19.77K,16.69K,1.18,1.2327,2026-07-14 10:59 UTC
AWEUSDT,251.06K,LOW,12.34K,18.62K,0.66,0.9121,2026-07-14 10:59 UTC
KGSTUSDT,71.17K,LOW,3.11K,5.93K,0.52,1.0031,2026-07-14 10:59 UTC
