symbol,volume_24h,priority,last_1h_volume,prev_1h_volume,volume_ratio,ath_body_ratio,last_1h_close
ORCLBUSDT,1.57M,LOW,116.10K,3.75K,30.98,1.2829,2026-09-11 08:59 UTC
MRVLBUSDT,1.41M,LOW,130.20K,5.91K,22.01,1.0304,2026-09-11 08:59 UTC
SOXLBUSDT,5.51M,LOW,881.14K,43.89K,20.08,0.608,2026-09-11 08:59 UTC
AEROUSDT,3.12M,LOW,542.11K,32.80K,16.53,1.1833,2026-09-11 08:59 UTC
LITEBUSDT,1.28M,LOW,67.59K,5.35K,12.64,1.1161,2026-09-11 08:59 UTC
SNXXBUSDT,3.38M,LOW,335.47K,59.18K,5.67,0.9299,2026-09-11 08:59 UTC
ZAMAUSDT,2.22M,LOW,108.54K,20.32K,5.34,1.6267,2026-09-11 08:59 UTC
SKHYBUSDT,4.06M,LOW,73.62K,13.83K,5.33,1.1203,2026-09-11 08:59 UTC
SKYUSDT,1.93M,LOW,124.04K,28.88K,4.3,0.7906,2026-09-11 08:59 UTC
KORUBUSDT,3.73M,LOW,123.26K,32.85K,3.75,1.1989,2026-09-11 08:59 UTC
TSLABUSDT,1.87M,LOW,65.09K,17.68K,3.68,0.8977,2026-09-11 08:59 UTC
NVDABUSDT,2.38M,LOW,106.11K,33.20K,3.2,1.0682,2026-09-11 08:59 UTC
AAPLBUSDT,1.81M,LOW,54.68K,25.48K,2.15,0.9573,2026-09-11 08:59 UTC
