symbol,last_1h_quote_volume,last_1h_close_time
1000CHEEMSUSDT,29168.896708,1778968799999
XUSDUSDT,32.0032,1778968799999
BANANAS31USDT,64689.313874,1778968799999
VIRTUALUSDT,36132.74016,1778968799999
AWEUSDT,2075.69224,1778968799999
HOMEUSDT,11106.87706,1778968799999
SPKUSDT,201940.514038,1778968799999
BFUSDUSDT,41.9759,1778968799999
SKYUSDT,4706.71953,1778968799999
MORPHOUSDT,6092.09221,1778968799999
KITEUSDT,75469.90196,1778968799999
SAPIENUSDT,23133.29968,1778968799999
ATUSDT,12608.75607,1778968799999
KGSTUSDT,1085.53813,1778968799999
币安人生USDT,49618.79388,1778968799999
UUSDT,126106.1835,1778968799999
FRAXUSDT,2259.35504,1778968799999
SENTUSDT,2835.41289,1778968799999
ZAMAUSDT,25816.786,1778968799999
ESPUSDT,8693.72712,1778968799999
MANTRAUSDT,7189.1938,1778968799999
OPNUSDT,9525.86966,1778968799999
NIGHTUSDT,12531.5378,1778968799999
CFGUSDT,33909.59348,1778968799999
KATUSDT,22251.62298,1778968799999
XAUTUSDT,77213.411996,1778968799999
